med;uq;lq;uw;lw;om
1.276;3.301;0.729;7.159;0.173;(0, 7.726599) (0, 8.9433475) (0, 11.0845355) (0, 15.9071525) (0, 52.4224844913) 
3.4085;9.85275;1.286;22.698;0.191;(0, 25.9048875) (0, 36.3650565) (0, 59.6332415) (0, 135.836433809) 
8.615;20.8395;2.6345;48.144;0.203;(0, 53.836333) (0, 69.2756775) (0, 95.3820005) (0, 150.88425) (0, 336.967213716) 
13.758;35.1085;4.615;80.84;0.143;(0, 90.701969) (0, 116.8252195) (0, 161.333424) (0, 274.4596145) (0, 687.308439885) 
36.173;112.718;13.104;262.138;0.227;(0, 291.7485335) (0, 368.554489) (0, 497.5555235) (0, 687.6349395) (0, 1204.12590208) 
60.0985;193.8505;21.169;452.837;0.192;(0, 499.407809) (0, 604.3376) (0, 750.412293) (0, 977.459904) (0, 1561.6676838) 
