clients_count;repetition;message_size;repetitions_per_minute;migration_time;migration_treshold;error_timed_out;error_timed_out_percentage;error_max_attempts;error_max_attempts_percentage;error_conn_reset;error_conn_reset_percentage;error_unknown;error_unknown_percentage;rtt_mean;rtt_stdev;reconnection_mean;reconnection_stdev;hop_mean;hop_stdev;med;uq;lq;uw;lw;om
5;2000;14600;10;30;2.0;3016;30.159999999999997;70;0.7000000000000001;16;0.16;0;0.0;3895.434065236302;10188.279665683538;0.2681;1.192545431612835;1.2507;0.981603720748138;27.830000000000002;943.8454999999999;0.54;2350.9359999999997;0.13699999999999998;(0, 3474.480943262411) (0, 6682.912953900712) (0, 13220.021830388694) (0, 24182.90425531914) (0, 44590.44108480566) 
5;2000;14600;10;30;2.0;3713;37.13;78;0.7799999999999999;16;0.16;0;0.0;5699.086833521721;11808.2846564382;0.3712;1.3664542728272948;1.5965;0.7575916740002692;256.35999999999996;4067.934;27.679;10116.144999999999;3.479;(0, 12505.81022325582) (0, 17007.21584259259) (0, 24418.763279069768) (0, 34461.768837962976) (0, 50174.31268518517) 
5;2000;14600;10;30;2.0;4560;45.6;0;0.0;4;0.04;0;0.0;7781.602688741728;13446.867046489615;0.0872;0.4037480170181971;1.6;0.48992244529132456;701.9355;9012.18;30.2705;22422.836;7.659;(0, 25064.205131034476) (0, 30849.276301369857) (0, 36439.07235862069) (0, 44399.27310273971) (0, 53767.60195205479) 
5;2000;14600;10;30;2.0;4030;40.300000000000004;21;0.21;5;0.05;0;0.0;7122.522238728123;12841.050288952345;0.113;0.6499794206932515;2.598;0.49640773771583596;537.0195;7785.722249999999;29.344;19412.362;24.078;(0, 21642.833509202454) (0, 27397.248957317082) (0, 33930.782049079775) (0, 41646.24105487804) (0, 53178.532146341466) 
5;2000;14600;10;30;2.0;3615;36.15;0;0.0;3;0.03;0;0.0;7560.462560796001;13081.649249494794;0.059;0.34136586394264334;3.6;0.48992244529132456;805.569;8637.64875;29.252;21507.303;24.374;(0, 23884.983094674553) (0, 29073.10718343195) (0, 35055.68826470587) (0, 43365.598177514796) (0, 53891.00188235295) 
5;2000;14600;10;30;2.0;4226;42.26;9;0.09;3;0.03;0;0.0;7682.783368274904;13232.65444044943;0.0893;0.5425448787838199;3.5975;0.5005185330037852;655.623;9412.907000000001;29.182249999999996;23458.379999999997;24.506;(0, 25688.183448275864) (0, 30687.510883561634) (0, 36547.70876027396) (0, 43635.398363013686) (0, 54192.01320547947) 
