repetition;message_size;repetitions_per_minute;migration_time;migration_treshold;migrations_possible;migrations_done;migrations_done_percentage;migration_rejected_mig_tresh;migration_rejected_mig_tresh_percentage;migration_rejected_num1;migration_rejected_num1_percentage;migrations_error;migrations_error_percentage
2000;1460;10;30;2.0;405;212;52.345679012345684;42;10.37037037037037;151;37.28395061728395;0;0.0
2000;7300;10;30;2.0;401;216;53.86533665835411;41;10.224438902743142;144;35.910224438902745;0;0.0
2000;14600;10;30;2.0;403;240;59.553349875930515;32;7.94044665012407;131;32.50620347394541;0;0.0
2000;29200;10;30;2.0;404;204;50.495049504950494;41;10.14851485148515;159;39.35643564356436;0;0.0
2000;43800;10;30;2.0;401;255;63.591022443890274;37;9.226932668329177;109;27.18204488778055;0;0.0
