clients_count;repetition;message_size;repetitions_per_minute;migration_time;migration_treshold;error_timed_out;error_timed_out_percentage;error_max_attempts;error_max_attempts_percentage;error_conn_reset;error_conn_reset_percentage;error_unknown;error_unknown_percentage;rtt_mean;rtt_stdev;reconnection_mean;reconnection_stdev;hop_mean;hop_stdev;med;uq;lq;uw;lw;om
10;2000;14600;10;30;2.0;9852;49.26;82;0.41000000000000003;13;0.065;0;0.0;7453.1306849696575;13153.012409714878;0.2563;1.0422881694768513;2.40445;0.9412834313982734;767.437;8119.884000000001;40.785000000000004;20226.767;0.289;(0, 22523.548490909085) (0, 28562.42738043478) (0, 34919.53950909091) (0, 43189.226025362324) (0, 54238.44694565216) 
10;2000;14600;10;30;2.0;11402;57.010000000000005;68;0.33999999999999997;7;0.034999999999999996;0;0.0;8658.439878094565;13933.468186243254;0.2567;0.9700268849922973;2.4;0.9165380527289987;1425.873;11154.7145;43.262;27791.581000000002;24.343;(0, 29988.54135820895) (0, 34685.244876237615) (0, 39998.1556980198) (0, 47140.955059405955) (0, 55750.71362871286) 
10;2000;14600;10;30;2.0;11801;59.004999999999995;96;0.48;7;0.034999999999999996;0;0.0;8748.807050148214;13966.585871526468;0.338;1.1612594138138688;2.49665;0.6790521578579924;1430.6035;11576.296;41.204;28873.115999999998;5.203;(0, 31229.387412429365) (0, 36090.34542372882) (0, 42180.88701694916) (0, 48019.40571751412) (0, 56296.99037640448) 
10;2000;14600;10;30;2.0;10586;52.93;17;0.08499999999999999;2;0.01;0;0.0;8039.7561946780315;13565.036176275273;0.15555;0.6736296358863081;2.4;1.2806568643085225;916.65;10035.628999999999;37.3995;25003.5;24.051;(0, 27608.947240174668) (0, 32816.59199563319) (0, 38751.42272173915) (0, 45744.82293886462) (0, 54852.10439999998) 
10;2000;14600;10;30;2.0;13137;65.685;69;0.345;8;0.04;0;0.0;10003.121437518404;14582.864405342927;0.21055;0.8887959245011099;2.3966;1.2849089421238276;2433.3450000000003;14738.8145;78.68074999999999;36689.098;15.161000000000001;(0, 38694.78147787611) (0, 42873.89270175437) (0, 47033.859752212404) (0, 52236.84871052631) (0, 57286.12985964911) 
