repetition;message_size;repetitions_per_minute;migration_time;migration_treshold;migrations_possible;migrations_done;migrations_done_percentage;migration_rejected_mig_tresh;migration_rejected_mig_tresh_percentage;migration_rejected_num1;migration_rejected_num1_percentage;migrations_error;migrations_error_percentage
2000;14600;1;30;2.0;3995;3717;93.04130162703379;61;1.5269086357947435;217;5.4317897371714645;0;0.0
2000;1460;10;30;2.0;405;212;52.345679012345684;42;10.37037037037037;151;37.28395061728395;0;0.0
2000;146;100;30;2.0;41;17;41.46341463414634;6;14.634146341463413;18;43.90243902439025;0;0.0
10000;49;300;30;2.0;72;16;22.22222222222222;6;8.333333333333332;50;69.44444444444444;0;0.0
