repetition;message_size;repetitions_per_minute;migration_time;migration_treshold;migrations_possible;migrations_done;migrations_done_percentage;migration_rejected_mig_tresh;migration_rejected_mig_tresh_percentage;migration_rejected_num1;migration_rejected_num1_percentage;migrations_error;migrations_error_percentage
2000;1460;10;10;2.0;1184;809;68.3277027027027;99;8.361486486486488;276;23.31081081081081;0;0.0
2000;1460;10;30;2.0;405;212;52.345679012345684;42;10.37037037037037;151;37.28395061728395;0;0.0
2000;1460;10;60;2.0;201;104;51.741293532338304;23;11.442786069651742;74;36.81592039800995;0;0.0
2000;1460;10;180;2.0;67;16;23.88059701492537;18;26.865671641791046;33;49.25373134328358;0;0.0
2000;1460;10;300;2.0;41;3;7.317073170731707;14;34.146341463414636;24;58.536585365853654;0;0.0
